81133	9	65535	6553¨²¢ŠÊJ65535	1.39	0.00
145	8	65535	65535	56419	65535	1.39	0.00
153	8	65535	65535	56419	65535	1.39	0.00
161	8	65535	65535	56419	65535	1.39	0.00
171	10	65535	65535	56419	65535	1.39	0.00
179	8	65535	65535	56419	65535	1.39	0.00
188	9	65535	65535	56419	65535	1.39	0.00
196	8	65535	65535	56419	65535	1.39	0.00
205	9	65535	65535	56419	65535	1.39	0.00
213	8	65535	65535	56419	65535	1.39	0.00
221	8	65535	65535	56419	65535	1.39	0.00
230	9	65535	65535	56419	65535	1.39	0.00
239	9	65535	65535	56419	65535	1.39	0.00
248	9	65535	65535	56419	65535	1.39	0.00
256	8	65535	65535	56419	65535	1.39	0.00
264	8	65535	65535	56419	65535	1.39	0.00
273	9	65535	65535	56419	65535	1.39	0.00
281	8	65535	65535	56419	65535	1.39	0.00
290	9	65535	65535	56419	65535	1.39	0.00
298	8	65535	65535	56419	65535	1.39	0.00
307	9	65535	65535	56419	65535	1.39	0.00
315	8	65535	65535	56419	65535	1.39	0.00
323	8	65535	65535	56419	65535	1.39	0.00
332	9	65535	65535	56419	65535	1.39	0.00
340	8	65535	65535	56419	65535	1.39	0.00
349	9	65535	65535	56419	65535	1.39	0.00
357	8	65535	65535	56419	65535	1.39	0.00
365	8	65535	65535	56419	65535	1.39	0.00
373	8	65535	65535	56419	65535	1.39	0.00
381	8	65535	65535	56419	65535	1.39	0.00
390	9	65535	65535	56419	65535	1.39	0.00
398	8	65535	65535	56419	65535	1.39	0.00
407	9	65535	65535	56419	65535	1.39	0.00
415	8	65535	65535	56419	65535	1.39	0.00
423	8	65535	65535	56419	65535	1.39	0.00
431	8	65535	65535	56419	65535	1.39	0.00
439	8	65535	65535	56419	65535	1.39	0.00
448	9	65535	65535	56419	65535	1.39	0.00
456	8	65535	65535	56419	65535	1.39	0.00
465	9	65535	65535	56419	65535	1.39	0.00
473	8	65535	65535	56419	65535	1.39	0.00
481	8	65535	65535	56419	65535	1.39	0.00
490	9	65535	65535	56419	65535	1.39	0.00
499	9	65535	65535	56419	65535	1.39	0.00
508	9	65535	65535	56419	65535	1.39	0.00
516	8	65535	65535	56419	65535	1.39	0.00
524	8	65535	65535	56419	65535	1.39	0.00
533	9	65535	65535	56419	65535	1.39	0.00
541	8	65535	65535	56419	65535	1.39	0.00
550	9	65535	65535	56419	65535	1.39	0.00
558	8	65535	65535	56419	65535	1.39	0.00
568	10	65535	65535	56419	65535	1.39	0.00
576	8	65535	65535	56419	65535	1.39	0.00
584	8	65535	65535	56419	65535	1.39	0.00
592	8	65535	65535	56419	65535	1.39	0.00
601	9	65535	65535	56419	65535	1.39	0.00
610	9	65535	65535	56419	65535	1.39	0.00
618	8	65535	65535	56419	65535	1.39	0.00
626	8	65535	65535	56419	65535	1.39	0.00
635	9	65535	65535	56419	65535	1.39	0.00
643	8	65535	65535	56419	65535	1.39	0.00
651	8	65535	65535	56419	65535	1.39	0.00
659	8	65535	65535	56419	65535	1.39	0.00
669	10	65535	65535	56419	65535	1.39	0.00
