52221	10	21846	65535	65535	1	2.59	1.94
52229	8	21846	65535	65535	1	2.59	1.94
52238	9	21846	65535	65535	1	2.59	1.94
52246	8	21846	65535	65535	1	2.59	1.94
52255	9	21846	65535	65535	1	2.59	1.94
52264	9	21846	65535	65535	1	2.59	1.94
52272	8	21846	65535	65535	1	2.59	1.94
52281	9	21846	65535	65535	1	2.59	1.94
52290	9	21846	65535	65535	1	2.59	1.94
52298	8	21846	65535	65535	1	2.59	1.94
52306	8	21846	65535	65535	1	2.59	1.94
52314	8	21846	65535	65535	1	2.59	1.94
52324	10	21846	65535	65535	1	2.59	1.94
52332	8	21846	65535	65535	1	2.59	1.94
52341	9	21846	65535	65535	1	2.59	1.94
52349	8	21846	65535	65535	1	2.59	1.94
52358	9	21846	65535	65535	1	2.59	1.94
52366	8	21846	65535	65535	1	2.59	1.94
52374	8	21846	65535	65535	1	2.59	1.94
Start sampling!
9	9	21846	65535	65535	1	2.59	1.94
18	9	21846	65535	65535	1	2.59	1.94
27	9	21846	65535	65535	1	2.59	1.94
35	8	21846	65535	65535	1	2.59	1.94
44	9	21846	65535	65535	1	2.59	1.94
53	9	21846	65535	65535	1	2.59	1.94
61	8	21846	65535	65535	1	2.59	1.94
70	9	21846	65535	65535	1	2.59	1.94
78	8	21846	65535	65535	1	2.59	1.94
88	10	21846	65535	65535	1	2.59	1.94
96	8	21846	65535	65535	1	2.59	1.94
104	8	21846	65535	65535	1	2.59	1.94
113	9	21846	65535	65535	1	2.59	1.94
121	8	21846	65535	65535	1	2.59	1.94
130	9	21846	65535	65535	1	2.59	1.94
138	8	21846	65535	65535	1	2.59	1.94
147	9	21846	65535	65535	1	2.59	1.94
155	8	21846	65535	65535	1	2.59	1.94
163	8	21846	65535	65535	1	2.59	1.94
172	9	21846	65535	65535	1	2.59	1.94
180	8	21846	65535	65535	1	2.59	1.94
189	9	21846	65535	65535	1	2.59	1.94
197	8	21846	65535	65535	1	2.59	1.94
205	8	21846	65535	65535	1	2.59	1.94
213	8	21846	65535	65535	1	2.59	1.94
221	8	21846	65535	65535	1	2.59	1.94
230	9	21846	65535	65535	1	2.59	1.94
238	8	21846	65535	65535	1	2.59	1.94
248	10	21846	65535	65535	1	2.59	1.94
256	8	21846	65535	65535	1	2.59	1.94
264	8	21846	65535	65535	1	2.59	1.94
273	9	21846	65535	65535	1	2.59	1.94
282	9	21846	65535	65535	1	2.59	1.94
291	9	21846	65535	65535	1	2.59	1.94
299	8	21846	65535	65535	1	2.59	1.94
308	9	21846	65535	65535	1	2.59	1.94
317	9	21846	65535	65535	1	2.59	1.94
325	8	21846	65535	65535	1	2.59	1.94
334	9	21846	65535	65535	1	2.59	1.94
342	8	21846	65535	65535	1	2.59	1.94
352	10	21846	65535	65535	1	2.59	1.94
360	8	21846	65535	65535	1	2.59	1.94
369	9	21846	65535	65535	1	2.59	1.94
377	8	21846	65535	65535	1	2.59	1.94
386	9	21846	65535	65535	1	2.59	1.94
395	9	21846	65535	65535	1	2.59	1.94
403	8	21846	65535	65535	1	2.59	1.94
412	9	21846	65535	65535	1	2.59	1.94
421	9	21846	65535	65535	1	2.59	1.94
429	8	21846	65535	65535	1	2.59	1.94
438	9	21846	65535	65535	1	2.59	1.94
446	8	21846	65535	65535	1	2.59	1.94
456	10	21846	65535	65535	1	2.59	1.94
464	8	21846	65535	65535	1	2.59	1.94
473	9	21846	65535	65535	1	2.59	1.94
481	8	21846	65535	65535	1	2.59	1.94
490	9	21846	65535	65535	1	2.59	1.94
499	9	21846	65535	65535	1	2.59	1.94
507	8	21846	65535	65535	1	2.59	1.94
516	9	21846	65535	65535	1	2.59	1.94
525	9	21846	65535	65535	1	2.59	1.94
534	9	21846	65535	65535	1	2.59	1.94
542	8	21846	65535	65535	1	2.59	1.94
550	8	21846	65535	65535	1	2.59	1.94
560	10	21846	65535	65535	1	2.59	1.94
568	8	21846	65535	65535	1	2.59	1.94
577	9	21846	65535	65535	1	2.59	1.94
585	8	21846	65535	65535	1	2.59	1.94
594	9	21846	65535	65535	1	2.59	1.94
602	8	21846	65535	65535	1	2.59	1.94
610	8	21846	65535	65535	1	2.59	1.94
619	9	21846	65535	65535	1	2.59	1.94
628	9	21846	65535	65535	1	2.59	1.94
637	9	21846	65535	65535	1	2.59	1.94
645	8	21846	65535	65535	1	2.59	1.94
653	8	21846	65535	65535	1	2.59	1.94
663	10	21846	65535	65535	1	2.59	1.94
671	8	21846	65535	65535	1	2.59	1.94
680	9	21846	65535	65535	1	2.59	1.94
688	8	21846	65535	65535	1	2.59	1.94
698	10	21846	65535	65535	1	2.59	1.94
706	8	21846	65535	65535	1	2.59	1.94
714	8	21846	65535	65535	1	2.59	1.94
723	9	21846	65535	65535	1	2.59	1.94
731	8	21846	65535	65535	1	2.59	1.94
740	9	21846	65535	65535	1	2.59	1.94
748	8	21846	65535	65535	1	2.59	1.94
756	8	21846	65535	65535	1	2.59	1.94
764	8	21846	65535	65535	1	2.59	1.94
772	8	21846	65535	65535	1	2.59	1.94
781	9	21846	65535	65535	1	2.59	1.94
789	8	21846	65535	65535	1	2.59	1.94
798	9	21846	65535	65535	1	2.59	1.94
806	8	21846	65535	65535	1	2.59	1.94
814	8	21846	65535	65535	1	2.59	1.94
824	10	21846	65535	65535	1	2.59	1.94
832	8	21846	65535	65535	1	2.59	1.94
841	9	21846	65535	65535	1	2.59	1.94
849	8	21846	65535	65535	1	2.59	1.94
859	10	21846	65535	65535	1	2.59	1.94
867	8	21846	65535	65535	1	2.59	1.94
875	8	21846	65535	65535	1	2.59	1.94
884	9	21846	65535	65535	1	2.59	1.94
893	9	21846	65535	65535	1	2.59	1.94
902	9	21846	65535	65535	1	2.59	1.94
910	8	21846	65535	65535	1	2.59	1.94
919	9	21846	65535	65535	1	2.59	1.94
928	9	21846	65535	65535	1	2.59	1.94
936	8	21846	65535	65535	1	2.59	1.94
945	9	21846	65535	65535	1	2.59	1.94
953	8	21846	65535	65535	1	2.59	1.94
963	10	21846	65535	65535	1	2.59	1.94
971	8	21846	65535	65535	1	2.59	1.94
979	8	21846	65535	65535	1	2.59	1.94
988	9	21846	65535	65535	1	2.59	1.94
997	9	21846	65535	65535	1	2.59	1.94
