49564	9	56281	65535	65535	65535	0.00	1.39
49572	8	56281	65535	65535	65535	0.00	1.39
49581	9	56281	65535	65535	65535	0.00	1.39
49589	8	56281	65535	65535	65535	0.00	1.39
49597	8	56281	65535	65535	65535	0.00	1.39
49605	8	56281	65535	65535	65535	0.00	1.39
49614	9	56281	65535	65535	65535	0.00	1.39
49623	9	56281	65535	65535	65535	0.00	1.39
49631	8	56281	65535	65535	65535	0.00	1.39
49639	8	56281	65535	65535	65535	0.00	1.39
49648	9	56281	65535	65535	65535	0.00	1.39
49656	8	56281	65535	65535	65535	0.00	1.39
49665	9	56281	65535	65535	65535	0.00	1.39
49673	8	56281	65535	65535	65535	0.00	1.39
49682	9	56281	65535	65535	65535	0.00	1.39
49690	8	56281	65535	65535	65535	0.00	1.39
49698	8	56281	65535	65535	65535	0.00	1.39
49706	8	56281	65535	65535	65535	0.00	1.39
49715	9	56281	65535	65535	65535	0.00	1.39
49724	9	56281	65535	65535	65535	0.00	1.39
Start sampling!
8	8	56281	65535	65535	65535	0.00	1.39
16	8	56281	65535	65535	65535	0.00	1.39
25	9	56281	65535	65535	65535	0.00	1.39
33	8	56281	65535	65535	65535	0.00	1.39
41	8	56281	65535	65535	65535	0.00	1.39
49	8	56281	65535	65535	65535	0.00	1.39
59	10	56281	65535	65535	65535	0.00	1.39
67	8	56281	65535	65535	65535	0.00	1.39
76	9	56281	65535	65535	65535	0.00	1.39
84	8	56281	65535	65535	65535	0.00	1.39
92	8	56281	65535	65535	65535	0.00	1.39
100	8	56281	65535	65535	65535	0.00	1.39
108	8	56281	65535	65535	65535	0.00	1.39
117	9	56281	65535	65535	65535	0.00	1.39
125	8	56281	65535	65535	65535	0.00	1.39
133	8	56281	65535	65535	65535	0.00	1.39
141	8	56281	65535	65535	65535	0.00	1.39
149	8	56281	65535	65535	65535	0.00	1.39
158	9	56281	65535	65535	65535	0.00	1.39
166	8	56281	65535	65535	65535	0.00	1.39
175	9	56281	65535	65535	65535	0.00	1.39
183	8	56281	65535	65535	65535	0.00	1.39
191	8	56281	65535	65535	65535	0.00	1.39
199	8	56281	65535	65535	65535	0.00	1.39
207	8	56281	65535	65535	65535	0.00	1.39
217	10	56281	65535	65535	65535	0.00	1.39
225	8	56281	65535	65535	65535	0.00	1.39
234	9	56281	65535	65535	65535	0.00	1.39
242	8	56281	65535	65535	65535	0.00	1.39
251	9	56281	65535	65535	65535	0.00	1.39
259	8	56281	65535	65535	65535	0.00	1.39
267	8	56281	65535	65535	65535	0.00	1.39
276	9	56281	65535	65535	65535	0.00	1.39
285	9	56281	65535	65535	65535	0.00	1.39
293	8	56281	65535	65535	65535	0.00	1.39
301	8	56281	65535	65535	65535	0.00	1.39
309	8	56281	65535	65535	65535	0.00	1.39
319	10	56281	65535	65535	65535	0.00	1.39
327	8	56281	65535	65535	65535	0.00	1.39
336	9	56281	65535	65535	65535	0.00	1.39
344	8	56281	65535	65535	65535	0.00	1.39
353	9	56281	65535	65535	65535	0.00	1.39
361	8	56281	65535	65535	65535	0.00	1.39
369	8	56281	65535	65535	65535	0.00	1.39
378	9	56281	65535	65535	65535	0.00	1.39
387	9	56281	65535	65535	65535	0.00	1.39
396	9	56281	65535	65535	65535	0.00	1.39
404	8	56281	65535	65535	65535	0.00	1.39
412	8	56281	65535	65535	65535	0.00	1.39
421	9	56281	65535	65535	65535	0.00	1.39
429	8	56281	65535	65535	65535	0.00	1.39
438	9	56281	65535	65535	65535	0.00	1.39
446	8	56281	65535	65535	65535	0.00	1.39
455	9	56281	65535	65535	65535	0.00	1.39
463	8	56281	65535	65535	65535	0.00	1.39
471	8	56281	65535	65535	65535	0.00	1.39
480	9	56281	65535	65535	65535	0.00	1.39
489	9	56281	65535	65535	65535	0.00	1.39
498	9	56281	65535	65535	65535	0.00	1.39
506	8	56281	65535	65535	65535	0.00	1.39
514	8	56281	65535	65535	65535	0.00	1.39
523	9	56281	65535	65535	65535	0.00	1.39
531	8	56281	65535	65535	65535	0.00	1.39
540	9	56281	65535	65535	65535	0.00	1.39
548	8	56281	65535	65535	65535	0.00	1.39
558	10	56281	65535	65535	65535	0.00	1.39
566	8	56281	65535	65535	65535	0.00	1.39
574	8	56281	65535	65535	65535	0.00	1.39
582	8	56281	65535	65535	65535	0.00	1.39
591	9	56281	65535	65535	65535	0.00	1.39
600	9	56281	65535	65535	65535	0.00	1.39
608	8	56281	65535	65535	65535	0.00	1.39
616	8	56281	65535	65535	65535	0.00	1.39
625	9	56281	65535	65535	65535	0.00	1.39
